rownames,Site,Substrate,Rep,Stream_Name,lat,long,altS,MAT,MAP,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC,X00681_NPOC_mg_per_L_as_C,X000681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00950_F_mg_per_L,00940_Cl_mg_per_L,71856_NO2_mg_per_L_as_NO2,00945_SO4_mg_per_L_as_SO4,71851_NO3_mg_per_L_as_NO3,NPOC_Dilution_Factor,C_Sample_Vol_mL.x,C_DIW_Vol_mL.x,SPE_NPOC_sample_concentration_mg.per.L.as.C.x,SPE_sample_volume_mL.x,Final_Concen_After_SPE_ppm.x,Methanol_elution_mL.x,FTICR_Ion_Accumulation_Time,slope_of_the_regression,rate_mg_per_L_per_min,rate_mg_per_L_per_h,R_squared,R_squared_adj,p_value,total_incubation_time_min,C_Sample_Vol_mL.y,C_DIW_Vol_mL.y,Tot_volume_SPE_mL,SPE_NPOC_sample_concentration_mg.per.L.as.C.y,SPE_sample_volume_mL.y,Final_Concen_After_SPE_ppm.y,Methanol_elution_mL.y,del_2H_permil,X2H_standev_permil,del_18O_permil,X18O_standev_permil,n_injections,00691_DIC_mg_per_L_as_C
S19S_0055_ICR-3,S19S_0055,Water,3,South Fork Polouse,46.7322206,-117.180384,715,8.7,526,7.5,Not_Provided,Not_Provided,20.1,,2.1,1.51,0.36,69.65,Below_Range,33.87,3.13,,,,,,,,,,,,,,,,10.851,4.149,15,1.5,15,9,1.5,-113.1,0.5,-14.34,0.07,4,
S19S_0055_Sed_Field_ICR-D,S19S_0055,Sedi_Field,Down,South Fork Polouse,46.7322206,-117.180384,715,8.7,526,7.5,Not_Provided,Not_Provided,20.1,27.68,,,,,,,,2,0.79,14.21,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0055_Sed_Field_ICR-M,S19S_0055,Sedi_Field,Mid,South Fork Polouse,46.7322206,-117.180384,715,8.7,526,7.5,Not_Provided,Not_Provided,20.1,19.72,,,,,,,,2,1.09,13.91,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0055_Sed_Field_ICR-U,S19S_0055,Sedi_Field,Up,South Fork Polouse,46.7322206,-117.180384,715,8.7,526,7.5,Not_Provided,Not_Provided,20.1,23.65,,,,,,,,2,0.93,14.07,1.5,15,9,1.5,0.2,-0.18,0.18,10.88,1,,,15,,,,,,,,,,,,,
S19S_0056_ICR-1,S19S_0056,Water,1,Nakdong,35.1634,128.9646,68,14.2,1433,6.5,Not_Provided,Not_Provided,31,,3.32,1.23,0.15,17.87,0.06,24.1,3.08,,,,,,,,,,,,,,,,6.2,8.8,15,1.5,15,9,1.5,-58,0.7,-7.68,0.26,4,
S19S_0056_ICR-2,S19S_0056,Water,2,Nakdong,35.1634,128.9646,68,14.2,1433,6.5,Not_Provided,Not_Provided,31,,4.19,1.09,0.15,16.92,0.06,23.31,3.17,,,,,,,,,,,,,,,,5.378,9.622,15,1.5,15,9,1.5,-58,0.7,-7.68,0.26,4,
S19S_0056_ICR-3,S19S_0056,Water,3,Nakdong,35.1634,128.9646,68,14.2,1433,6.5,Not_Provided,Not_Provided,31,,47.6,1.29,0.14,16.57,0.05,23.01,3.23,,,,,,,,,,,,,,,,0.429,14.571,15,1.5,15,9,1.5,-58,0.7,-7.68,0.26,4,
S19S_0056_Sed_Field_ICR-D,S19S_0056,Sedi_Field,Down,Nakdong,35.1634,128.9646,68,14.2,1433,6.5,Not_Provided,Not_Provided,31,14.72,,,,,,,,2,1.68,13.32,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0056_Sed_Field_ICR-M,S19S_0056,Sedi_Field,Mid,Nakdong,35.1634,128.9646,68,14.2,1433,6.5,Not_Provided,Not_Provided,31,8.39,,,,,,,,2,1.63,13.37,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0056_Sed_Field_ICR-U,S19S_0056,Sedi_Field,Up,Nakdong,35.1634,128.9646,68,14.2,1433,6.5,Not_Provided,Not_Provided,31,6.93,,,,,,,,2,3.45,11.55,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0057_ICR-1,S19S_0057,Water,1,Tims Branch,33.337716,-81.718159,86,17.2,1183,7.0 (6.74 with pH probe),Not_Provided,8.365 mg/L (measured 2 days earlier),25.3,,4.13,0.77,Below_Range,1.34,Below_Range,0.37,Below_Range,,,,,,,,,,,,,,,,5.1,9.9,15,1.5,15,9,1.5,-20.6,0.8,-4.13,0.26,4,
S19S_0057_ICR-2,S19S_0057,Water,2,Tims Branch,33.337716,-81.718159,86,17.2,1183,7.0 (6.74 with pH probe),Not_Provided,8.365 mg/L (measured 2 days earlier),25.3,,4.05,0.33,Below_Range,1.34,Below_Range,0.71,Below_Range,,,,,,,,,,,,,,,,5.4,9.6,15,1.5,15,9,1.5,-20.6,0.8,-4.13,0.26,4,4.59
S19S_0057_ICR-3,S19S_0057,Water,3,Tims Branch,33.337716,-81.718159,86,17.2,1183,7.0 (6.74 with pH probe),Not_Provided,8.365 mg/L (measured 2 days earlier),25.3,,0.56,0.4,Below_Range,1.35,Below_Range,0.39,Below_Range,,,,,,,,,,,,,,,,22.01,0,22.01,1.167,22.01,10.274,1.5,-20.6,0.8,-4.13,0.26,4,
S19S_0057_Sed_Field_ICR-D,S19S_0057,Sedi_Field,Down,Tims Branch,33.337716,-81.718159,86,17.2,1183,7.0 (6.74 with pH probe),Not_Provided,8.365 mg/L (measured 2 days earlier),25.3,35.93,,,,,,,,2,0.61,14.39,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0057_Sed_Field_ICR-M,S19S_0057,Sedi_Field,Mid,Tims Branch,33.337716,-81.718159,86,17.2,1183,7.0 (6.74 with pH probe),Not_Provided,8.365 mg/L (measured 2 days earlier),25.3,27.23,,,,,,,,2,0.73,14.27,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0057_Sed_Field_ICR-U,S19S_0057,Sedi_Field,Up,Tims Branch,33.337716,-81.718159,86,17.2,1183,7.0 (6.74 with pH probe),Not_Provided,8.365 mg/L (measured 2 days earlier),25.3,21.25,,,,,,,,2,1.02,13.98,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0058_ICR-1,S19S_0058,Water,1,Jordan River,32.899396,35.61366095,-164,21.9,412,7.5,Not_Provided,Not_Provided,26,,0.73,1.78,0.1,14.45,Below_Range,15.74,7.93,,,,,,,,,,,,,,,,16.78,0,16.78,1.392,16.78,9.344,1.5,-34.1,0.7,-6.83,0.14,4,
S19S_0058_ICR-2,S19S_0058,Water,2,Jordan River,32.899396,35.61366095,-164,21.9,412,7.5,Not_Provided,Not_Provided,26,,0.66,1.87,0.11,14.1,Below_Range,15.81,7.87,,,,,,,,,,,,,,,,14.52,0,14.52,1.239,14.52,7.198,1.5,-34.1,0.7,-6.83,0.14,4,
S19S_0058_ICR-3,S19S_0058,Water,3,Jordan River,32.899396,35.61366095,-164,21.9,412,7.5,Not_Provided,Not_Provided,26,,0.74,1.76,0.1,14.39,Below_Range,15.97,7.83,,,,,,,,,,,,,,,,15.65,0,15.65,1.31,15.65,8.201,1.5,-34.1,0.7,-6.83,0.14,4,
S19S_0058_Sed_Field_ICR-D,S19S_0058,Sedi_Field,Down,Jordan River,32.899396,35.61366095,-164,21.9,412,7.5,Not_Provided,Not_Provided,26,33.83,,,,,,,,2,0.77,14.23,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0058_Sed_Field_ICR-U,S19S_0058,Sedi_Field,Up,Jordan River,32.899396,35.61366095,-164,21.9,412,7.5,Not_Provided,Not_Provided,26,18.17,,,,,,,,2,1.41,13.59,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0059_ICR-1,S19S_0059,Water,1,Heel Creek tributary,48.16859001,-117.3903992,978,6.3,640,6.5,Not_Provided,Not_Provided,11,,1.51,0.09,Below_Range,0.45,Below_Range,4.94,Below_Range,,,,,,,,,,,,,,,,15,0,15,1.48,15,8.87,1.5,-109.8,0.6,-15.1,0.09,4,
S19S_0059_ICR-2,S19S_0059,Water,2,Heel Creek tributary,48.16859001,-117.3903992,978,6.3,640,6.5,Not_Provided,Not_Provided,11,,1.42,0.13,Below_Range,0.47,Below_Range,3.68,Below_Range,,,,,,,,,,,,,,,,15,0,15,1.39,15,8.34,1.5,-109.8,0.6,-15.1,0.09,4,
S19S_0059_ICR-3,S19S_0059,Water,3,Heel Creek tributary,48.16859001,-117.3903992,978,6.3,640,6.5,Not_Provided,Not_Provided,11,,1.55,0.07,Below_Range,0.46,Below_Range,4.55,Below_Range,,,,,,,,,,,,,,,,15,0,15,1.52,15,9.12,1.5,-109.8,0.6,-15.1,0.09,4,
S19S_0059_Sed_Field_ICR-D,S19S_0059,Sedi_Field,Down,Heel Creek tributary,48.16859001,-117.3903992,978,6.3,640,6.5,Not_Provided,Not_Provided,11,37.02,,,,,,,,2,0.58,14.42,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0059_Sed_Field_ICR-M,S19S_0059,Sedi_Field,Mid,Heel Creek tributary,48.16859001,-117.3903992,978,6.3,640,6.5,Not_Provided,Not_Provided,11,22.84,,,,,,,,2,0.99,14.01,1.5,15,9,1.5,0.15,-0.25,0.25,15,1,,,10,,,,,,,,,,,,,
S19S_0059_Sed_Field_ICR-U,S19S_0059,Sedi_Field,Up,Heel Creek tributary,48.16859001,-117.3903992,978,6.3,640,6.5,Not_Provided,Not_Provided,11,41.07,,,,,,,,2,0.4,14.6,1.5,15,9,1.5,0.15,-0.12,0.12,6.92,1,0.999,0.002,27,,,,,,,,,,,,,
S19S_0060_ICR-1,S19S_0060,Water,1,Yakima River,46.2530248,-119.4772256,146,11.8,191,8,161.9,13.31,25.6,,1.48,1.69,0.15,8.76,Below_Range,16.44,5.61,,,,,,,,,,,,,,,,15,0,15,1.45,15,8.71,1.5,-96.9,0.8,-12.76,0.07,4,
S19S_0060_ICR-2,S19S_0060,Water,2,Yakima River,46.2530248,-119.4772256,146,11.8,191,8,161.9,13.31,25.6,,1.26,1.47,0.16,8.77,Below_Range,16.82,5.56,,,,,,,,,,,,,,,,12.4,2.6,15,1.5,15,9,1.5,-96.9,0.8,-12.76,0.07,4,
S19S_0060_ICR-3,S19S_0060,Water,3,Yakima River,46.2530248,-119.4772256,146,11.8,191,8,161.9,13.31,25.6,,1.46,1.37,0.15,8.71,Below_Range,16.18,5.46,,,,,,,,,,,,,,,,11.4,3.6,15,1.5,15,9,1.5,-96.9,0.8,-12.76,0.07,4,
S19S_0060_Sed_Field_ICR-D,S19S_0060,Sedi_Field,Down,Yakima River,46.2530248,-119.4772256,146,11.8,191,8,161.9,13.31,25.6,10.74,,,,,,,,2,1.91,13.09,1.5,15,9,1.5,0.2,-0.09,0.09,5.24,0.964,0.946,0.012,46,,,,,,,,,,,,,
S19S_0060_Sed_Field_ICR-M,S19S_0060,Sedi_Field,Mid,Yakima River,46.2530248,-119.4772256,146,11.8,191,8,161.9,13.31,25.6,10.32,,,,,,,,2,2.06,12.94,1.5,15,9,1.5,0.2,-0.03,0.03,1.84,0.988,0.984,0.002,113,,,,,,,,,,,,,
S19S_0060_Sed_Field_ICR-U,S19S_0060,Sedi_Field,Up,Yakima River,46.2530248,-119.4772256,146,11.8,191,8,161.9,13.31,25.6,6.2,,,,,,,,2,3.46,11.54,1.5,15,9,1.5,0.2,-0.02,0.02,1.12,0.993,0.992,0.001,111,,,,,,,,,,,,,
S19S_0061_ICR-1,S19S_0061,Water,1,Black Earth Creek,43.1091,-89.6403,280,7.6,811,7.5,78,7.56,16.9,,3,2.69,Below_Range,28.41,0.07,11.81,10.84,,,,,,,,,,,,,,,,7.543,7.457,15,1.5,15,9,1.5,-49.2,0.7,-7.5,0.13,4,
S19S_0061_ICR-2,S19S_0061,Water,2,Black Earth Creek,43.1091,-89.6403,280,7.6,811,7.5,78,7.56,16.9,,2.35,2.69,Below_Range,27.32,0.07,11.34,10.43,,,,,,,,,,,,,,,,8.2,6.8,15,1.5,15,9,1.5,-49.2,0.7,-7.5,0.13,4,
S19S_0061_ICR-3,S19S_0061,Water,3,Black Earth Creek,43.1091,-89.6403,280,7.6,811,7.5,78,7.56,16.9,,2.59,2.38,Below_Range,26.51,0.07,10.88,10.18,,,,,,,,,,,,,,,,8.674,6.326,15,1.5,15,9,1.5,-49.2,0.7,-7.5,0.13,4,
S19S_0061_Sed_Field_ICR-D,S19S_0061,Sedi_Field,Down,Black Earth Creek,43.1091,-89.6403,280,7.6,811,7.5,78,7.56,16.9,17.25,,,,,,,,2,1.26,13.74,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0061_Sed_Field_ICR-M,S19S_0061,Sedi_Field,Mid,Black Earth Creek,43.1091,-89.6403,280,7.6,811,7.5,78,7.56,16.9,21.79,,,,,,,,2,0.97,14.03,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0061_Sed_Field_ICR-U,S19S_0061,Sedi_Field,Up,Black Earth Creek,43.1091,-89.6403,280,7.6,811,7.5,78,7.56,16.9,44.52,,,,,,,,2,0.5,14.5,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0062_ICR-1,S19S_0062,Water,1,Gunnison River,38.544778,-106.950056,2367,3,313,7.5,Not_Provided,Not_Provided,14.2,,1.4,0.2,0.12,0.95,Below_Range,13.78,Below_Range,,,,,,,,,,,,,,,,15,0,15,1.42,15,8.51,1.5,-123.2,0.8,-16.81,0.13,4,
S19S_0062_ICR-2,S19S_0062,Water,2,Gunnison River,38.544778,-106.950056,2367,3,313,7.5,Not_Provided,Not_Provided,14.2,,1.86,0.13,Below_Range,0.44,Below_Range,4.94,Below_Range,,,,,,,,,,,,,,,,11.961,3.039,15,1.5,15,9,1.5,-123.2,0.8,-16.81,0.13,4,
S19S_0062_ICR-3,S19S_0062,Water,3,Gunnison River,38.544778,-106.950056,2367,3,313,7.5,Not_Provided,Not_Provided,14.2,,1.84,0.15,0.12,0.92,Below_Range,13.59,Below_Range,,,,,,,,,,,,,,,,9.6,5.4,15,1.5,15,9,1.5,-123.2,0.8,-16.81,0.13,4,
S19S_0062_Sed_Field_ICR-D,S19S_0062,Sedi_Field,Down,Gunnison River,38.544778,-106.950056,2367,3,313,7.5,Not_Provided,Not_Provided,14.2,5.45,,,,,,,,2,3.65,11.35,1.5,15,9,1.5,0.15,0,0,0.1,0.619,0.429,0.001,649,,,,,,,,,,,,,
S19S_0062_Sed_Field_ICR-M,S19S_0062,Sedi_Field,Mid,Gunnison River,38.544778,-106.950056,2367,3,313,7.5,Not_Provided,Not_Provided,14.2,8.54,,,,,,,,2,2.48,12.52,1.5,15,9,1.5,0.15,-0.11,0.11,6.32,1,,,40,,,,,,,,,,,,,
S19S_0062_Sed_Field_ICR-U,S19S_0062,Sedi_Field,Up,Gunnison River,38.544778,-106.950056,2367,3,313,7.5,Not_Provided,Not_Provided,14.2,6.47,,,,,,,,2,3.22,11.78,1.5,15,9,1.5,0.15,0,0,0.1,0.491,0.321,0.001,648,,,,,,,,,,,,,
S19S_0063_ICR-1,S19S_0063,Water,1,Lower Colorado ,30.250278,-97.709566,142,20.2,808,7.5,Not_Provided,Not_Provided,24,,2.18,0.74,0.18,30.03,Below_Range,29.2,1.82,,,,,,,,,,,,,,,,10.445,4.555,15,1.5,15,9,1.5,-19.5,0.8,-2.72,0.08,4,
S19S_0063_ICR-2,S19S_0063,Water,2,Lower Colorado ,30.250278,-97.709566,142,20.2,808,7.5,Not_Provided,Not_Provided,24,,1.9,0.72,0.19,28.43,Below_Range,27.58,1.84,,,,,,,,,,,,,,,,12.044,2.956,15,1.5,15,9,1.5,-19.5,0.8,-2.72,0.08,4,
S19S_0063_ICR-3,S19S_0063,Water,3,Lower Colorado ,30.250278,-97.709566,142,20.2,808,7.5,Not_Provided,Not_Provided,24,,2.15,0.87,0.18,29.04,Below_Range,28.02,1.84,,,,,,,,,,,,,,,,10.538,4.462,15,1.5,15,9,1.5,-19.5,0.8,-2.72,0.08,4,
S19S_0063_Sed_Field_ICR-D,S19S_0063,Sedi_Field,Down,Lower Colorado ,30.250278,-97.709566,142,20.2,808,7.5,Not_Provided,Not_Provided,24,14.32,,,,,,,,2,1.56,13.44,1.5,15,9,1.5,0.15,-0.01,0.01,0.39,0.876,0.855,0.001,122,,,,,,,,,,,,,
S19S_0063_Sed_Field_ICR-M,S19S_0063,Sedi_Field,Mid,Lower Colorado ,30.250278,-97.709566,142,20.2,808,7.5,Not_Provided,Not_Provided,24,5.03,,,,,,,,2,4.37,10.63,1.5,15,9,1.5,0.2,-0.01,0.01,0.64,0.983,0.979,0.001,113,,,,,,,,,,,,,
S19S_0063_Sed_Field_ICR-U,S19S_0063,Sedi_Field,Up,Lower Colorado ,30.250278,-97.709566,142,20.2,808,7.5,Not_Provided,Not_Provided,24,3.43,,,,,,,,2,6,9,1.388008193,15,9,1.5,0.2,-0.01,0.01,0.52,0.836,0.795,0.002,114,,,,,,,,,,,,,
S19S_0064_ICR-1,S19S_0064,Water,1,Shavers Creek,40.61507,-78.00688,227,10.1,968,7.7,80.7,Not_Provided,23.5,,1.34,1.23,Below_Range,6.68,Below_Range,16.86,5.75,,,,,,,,,,,,,,,,12.1,2.9,15,1.5,15,9,1.5,-51.1,0.7,-7.1,0.08,4,
S19S_0064_ICR-2,S19S_0064,Water,2,Shavers Creek,40.61507,-78.00688,227,10.1,968,7.7,80.7,Not_Provided,23.5,,1.18,1.29,Below_Range,6.81,0.07,17.46,5.7,,,,,,,,,,,,,,,,12.9,2.1,15,1.5,15,9,1.5,-51.1,0.7,-7.1,0.08,4,
S19S_0064_ICR-3,S19S_0064,Water,3,Shavers Creek,40.61507,-78.00688,227,10.1,968,7.7,80.7,Not_Provided,23.5,,1.52,1.29,Below_Range,6.65,Below_Range,16.5,5.56,,,,,,,,,,,,,,,,11.1,3.9,15,1.5,15,9,1.5,-51.1,0.7,-7.1,0.08,4,
S19S_0064_Sed_Field_ICR-D,S19S_0064,Sedi_Field,Down,Shavers Creek,40.61507,-78.00688,227,10.1,968,7.7,80.7,Not_Provided,23.5,25.59,,,,,,,,2,0.85,14.15,1.5,15,9,1.5,0.2,-0.38,0.38,22.97,1,,,7,,,,,,,,,,,,,
S19S_0064_Sed_Field_ICR-M,S19S_0064,Sedi_Field,Mid,Shavers Creek,40.61507,-78.00688,227,10.1,968,7.7,80.7,Not_Provided,23.5,21.81,,,,,,,,2,0.98,14.02,1.5,15,9,1.5,0.2,-0.35,0.35,21.19,1,,,16,,,,,,,,,,,,,
S19S_0064_Sed_Field_ICR-U,S19S_0064,Sedi_Field,Up,Shavers Creek,40.61507,-78.00688,227,10.1,968,7.7,80.7,Not_Provided,23.5,13.79,,,,,,,,2,1.53,13.47,1.5,15,9,1.5,0.15,-0.13,0.13,7.67,0.989,0.978,0.013,29,,,,,,,,,,,,,
S19S_0065_ICR-1,S19S_0065,Water,1,Russian River,38.509635,-122.8834,20,14,1024,5,Not_Provided,Not_Provided,22.1,,1.77,0.66,0.09,4.33,Below_Range,11.26,Below_Range,,,,,,,,,,,,,,,,10,5,15,1.5,15,9,1.5,-49.6,0.5,-7.16,0.11,4,
S19S_0065_ICR-2,S19S_0065,Water,2,Russian River,38.509635,-122.8834,20,14,1024,5,Not_Provided,Not_Provided,22.1,,1.79,0.2,0.09,4.3,Below_Range,10.97,Below_Range,,,,,,,,,,,,,,,,9.9,5.1,15,1.5,15,9,1.5,-49.6,0.5,-7.16,0.11,4,
S19S_0065_ICR-3,S19S_0065,Water,3,Russian River,38.509635,-122.8834,20,14,1024,5,Not_Provided,Not_Provided,22.1,,1.84,0.17,0.1,4.37,Below_Range,11.07,Below_Range,,,,,,,,,,,,,,,,9.7,5.3,15,1.5,15,9,1.5,-49.6,0.5,-7.16,0.11,4,25.74
S19S_0065_Sed_Field_ICR-D,S19S_0065,Sedi_Field,Down,Russian River,38.509635,-122.8834,20,14,1024,5,Not_Provided,Not_Provided,22.1,6.65,,,,,,,,2,3.06,11.94,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0065_Sed_Field_ICR-M,S19S_0065,Sedi_Field,Mid,Russian River,38.509635,-122.8834,20,14,1024,5,Not_Provided,Not_Provided,22.1,10.34,,,,,,,,2,2.35,12.65,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0065_Sed_Field_ICR-U,S19S_0065,Sedi_Field,Up,Russian River,38.509635,-122.8834,20,14,1024,5,Not_Provided,Not_Provided,22.1,12.27,,,,,,,,2,2.02,12.98,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0066_ICR-1,S19S_0066,Water,1,Rio Grande,35.198601,-106.643074,1524,13.4,221,6.5,Not_Provided,Not_Provided,31.2,,2.07,0.54,0.25,3.81,Below_Range,21.56,0.87,,,,,,,,,,,,,,,,11.025,3.975,15,1.5,15,9,1.5,-96.5,0.3,-13.12,0.1,4,
S19S_0066_ICR-2,S19S_0066,Water,2,Rio Grande,35.198601,-106.643074,1524,13.4,221,6.5,Not_Provided,Not_Provided,31.2,,3.07,0.47,0.23,3.75,Below_Range,21.12,0.73,,,,,,,,,,,,,,,,6.5,8.5,15,1.5,15,9,1.5,-96.5,0.3,-13.12,0.1,4,
S19S_0066_Sed_Field_ICR-D,S19S_0066,Sedi_Field,Down,Rio Grande,35.198601,-106.643074,1524,13.4,221,6.5,Not_Provided,Not_Provided,31.2,4.19,,,,,,,,2,5.09,9.91,1.5,15,9,1.5,0.2,-0.01,0.01,0.83,0.979,0.974,0.001,121,,,,,,,,,,,,,
S19S_0066_Sed_Field_ICR-M,S19S_0066,Sedi_Field,Mid,Rio Grande,35.198601,-106.643074,1524,13.4,221,6.5,Not_Provided,Not_Provided,31.2,24.13,,,,,,,,2,0.86,14.14,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0066_Sed_Field_ICR-U,S19S_0066,Sedi_Field,Up,Rio Grande,35.198601,-106.643074,1524,13.4,221,6.5,Not_Provided,Not_Provided,31.2,15.42,,,,,,,,2,1.4,13.6,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0067_ICR-1,S19S_0067,Water,1,Augusta Creek,42.39193,-85.35402,280,8.8,909,7.5,104.4,9.17,20.63,,1.77,1.97,Below_Range,12.33,Below_Range,15.3,7.5,,,,,,,,,,,,,,,,10,5,15,1.5,15,9,1.5,-57.9,0.8,-8.77,0.22,4,
S19S_0067_ICR-2,S19S_0067,Water,2,Augusta Creek,42.39193,-85.35402,280,8.8,909,7.5,104.4,9.17,20.63,,2.07,1.84,Below_Range,12.12,Below_Range,15.08,7.21,,,,,,,,,,,,,,,,8.8,6.2,15,1.5,15,9,1.5,-57.9,0.8,-8.77,0.22,4,
S19S_0067_ICR-3,S19S_0067,Water,3,Augusta Creek,42.39193,-85.35402,280,8.8,909,7.5,104.4,9.17,20.63,,2.7,1.75,Below_Range,11.43,Below_Range,14.08,6.73,,,,,,,,,,,,,,,,8.376,6.624,15,1.5,15,9,1.5,-57.9,0.8,-8.77,0.22,4,
S19S_0067_Sed_Field_ICR-D,S19S_0067,Sedi_Field,Down,Augusta Creek,42.39193,-85.35402,280,8.8,909,7.5,104.4,9.17,20.63,24.32,,,,,,,,2,0.87,14.13,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0067_Sed_Field_ICR-M,S19S_0067,Sedi_Field,Mid,Augusta Creek,42.39193,-85.35402,280,8.8,909,7.5,104.4,9.17,20.63,21.66,,,,,,,,2,1,14,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0067_Sed_Field_ICR-U,S19S_0067,Sedi_Field,Up,Augusta Creek,42.39193,-85.35402,280,8.8,909,7.5,104.4,9.17,20.63,38.17,,,,,,,,2,0.73,14.27,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0068_ICR-1,S19S_0068,Water,1,Watershed 01 stream,44.207269,-122.257915,514,9.5,1837,6,Not_Provided,Not_Provided,14.7,,0.66,Below_Range,Below_Range,3.33,Below_Range,0.59,Below_Range,,,,,,,,,,,,,,,,17.8,0,17.8,1.295,17.8,9.223,1.5,-73.1,0.3,-10.86,0.1,4,
S19S_0068_ICR-2,S19S_0068,Water,2,Watershed 01 stream,44.207269,-122.257915,514,9.5,1837,6,Not_Provided,Not_Provided,14.7,,0.69,0.08,Below_Range,3.31,Below_Range,0.57,Below_Range,,,,,,,,,,,,,,,,15,0,15,0.67,15,4.02,1.5,-73.1,0.3,-10.86,0.1,4,
S19S_0068_ICR-3,S19S_0068,Water,3,Watershed 01 stream,44.207269,-122.257915,514,9.5,1837,6,Not_Provided,Not_Provided,14.7,,0.71,0.07,Below_Range,3.35,Below_Range,0.57,Below_Range,,,,,,,,,,,,,,,,15,0,15,0.74,15,4.42,1.5,-73.1,0.3,-10.86,0.1,4,
S19S_0068_Sed_Field_ICR-M,S19S_0068,Sedi_Field,Mid,Watershed 01 stream,44.207269,-122.257915,514,9.5,1837,6,Not_Provided,Not_Provided,14.7,7.01,,,,,,,,2,3.37,11.63,1.5,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0068_Sed_Field_ICR-U,S19S_0068,Sedi_Field,Up,Watershed 01 stream,44.207269,-122.257915,514,9.5,1837,6,Not_Provided,Not_Provided,14.7,8.71,,,,,,,,2,2.47,12.53,1.5,15,9,1.5,0.2,-0.01,0.01,0.85,0.991,0.989,0.001,88,,,,,,,,,,,,,
S19S_0069_ICR-1,S19S_0069,Water,1,North Fork Caspar Creek ,39.362343,-123.734848,184,11.1,1160,6.5,Not_Provided,Not_Provided,15,,0.59,Below_Range,0.1,15.14,Below_Range,10.24,Below_Range,,,,,,,,,,,,,,,,16.67,0,16.67,1.23,16.67,8.199,1.5,-36.1,0.3,-5.86,0.11,4,
S19S_0069_ICR-2,S19S_0069,Water,2,North Fork Caspar Creek ,39.362343,-123.734848,184,11.1,1160,6.5,Not_Provided,Not_Provided,15,,0.68,0.05,0.11,15.17,Below_Range,10.25,Below_Range,,,,,,,,,,,,,,,,15,0,15,0.66,15,3.93,1.5,-36.1,0.3,-5.86,0.11,4,
S19S_0069_ICR-3,S19S_0069,Water,3,North Fork Caspar Creek ,39.362343,-123.734848,184,11.1,1160,6.5,Not_Provided,Not_Provided,15,,0.69,0.24,0.1,15.06,Below_Range,10.15,Below_Range,,,,,,,,,,,,,,,,15,0,15,0.7,15,4.21,1.5,-36.1,0.3,-5.86,0.11,4,
S19S_0069_Sed_Field_ICR-D,S19S_0069,Sedi_Field,Down,North Fork Caspar Creek ,39.362343,-123.734848,184,11.1,1160,6.5,Not_Provided,Not_Provided,15,9.2,,,,,,,,2,2.62,12.38,1.5,15,9,1.5,0.2,0,0,0.3,0.891,0.864,0.001,97,,,,,,,,,,,,,
S19S_0069_Sed_Field_ICR-M,S19S_0069,Sedi_Field,Mid,North Fork Caspar Creek ,39.362343,-123.734848,184,11.1,1160,6.5,Not_Provided,Not_Provided,15,5.33,,,,,,,,2,4.32,10.68,1.5,15,9,1.5,0.2,-0.01,0.01,0.32,0.894,0.877,0.001,115,,,,,,,,,,,,,
S19S_0069_Sed_Field_ICR-U,S19S_0069,Sedi_Field,Up,North Fork Caspar Creek ,39.362343,-123.734848,184,11.1,1160,6.5,Not_Provided,Not_Provided,15,6.22,,,,,,,,2,3.71,11.29,1.5,15,9,1.5,0.2,-0.01,0.01,0.43,0.534,0.441,0.003,93,,,,,,,,,,,,,
