,precision,recall,f1-score,support
sw_0,0.7407407407407407,0.9523809523809523,0.8333333333333334,21.0
sw_1,0.6,0.2727272727272727,0.37499999999999994,11.0
sw_2,0.6666666666666666,0.6666666666666666,0.6666666666666666,21.0
accuracy,0.6981132075471698,0.6981132075471698,0.6981132075471698,0.6981132075471698
macro avg,0.6691358024691357,0.6305916305916305,0.625,53.0
weighted avg,0.6821802935010481,0.6981132075471698,0.6721698113207547,53.0
