,precision,recall,f1-score,support
sed_0,0.7333333333333333,0.55,0.6285714285714286,20.0
sed_1,0.6666666666666666,1.0,0.8,2.0
sed_2,0.7333333333333333,0.8461538461538461,0.7857142857142856,26.0
accuracy,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666
macro avg,0.7111111111111111,0.7987179487179487,0.7380952380952381,48.0
weighted avg,0.7305555555555555,0.7291666666666666,0.7208333333333332,48.0
