,precision,recall,f1-score,support
sed_0,0.7692307692307693,0.5,0.6060606060606061,20.0
sed_1,0.5,0.5,0.5,2.0
sed_2,0.7272727272727273,0.9230769230769231,0.8135593220338984,26.0
accuracy,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666
macro avg,0.6655011655011654,0.6410256410256411,0.6398733093648348,48.0
weighted avg,0.7352855477855478,0.7291666666666666,0.7140365519602808,48.0
