,precision,recall,f1-score,support
sed_0,0.5454545454545454,0.3,0.3870967741935483,20.0
sed_1,0.5,0.5,0.5,2.0
sed_2,0.6285714285714286,0.8461538461538461,0.721311475409836,26.0
accuracy,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666
macro avg,0.558008658008658,0.5487179487179487,0.536136083201128,48.0
weighted avg,0.588582251082251,0.6041666666666666,0.5728340384276396,48.0
