,precision,recall,f1-score,support
sed_0,0.5714285714285714,0.2,0.29629629629629634,20.0
sed_1,0.5,0.5,0.5,2.0
sed_2,0.6153846153846154,0.9230769230769231,0.7384615384615384,26.0
accuracy,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666
macro avg,0.5622710622710623,0.541025641025641,0.5115859449192782,48.0
weighted avg,0.5922619047619048,0.6041666666666666,0.5442901234567902,48.0
