sample_id,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,03_mgL,02_mgL,Number.Days.Since.Precip,pH,Precipitation.Within.Week,Primary.Sources.Flow.Variation,Sediment,SO4_mgL,Stream_Order,Temp_degC,altS,MAT,MAP,cluster
SW_S19S.0039_U_2,9.73,1,NA,NA,0.18,2,1,1,7.87,0.1,1,7.5,1,5,1,13.48,3,22.8,239,14,1348,sw_0
SW_S19S.0039_U_3,9.59,1,NA,NA,0.19,2,1,1,7.95,0.1,1,7.5,1,5,1,13.46,3,22.8,239,14,1348,sw_0
SW_S19S.0040_U_2,1.58,1,NA,NA,0.34,17,1,0,0.12,0.04,3,7.5,1,5,1,31.14,1,21.7,370,12.1,865,sw_2
SW_S19S.0040_U_3,1.74,1,NA,NA,0.32,17,1,0,0.12,0.04,3,7.5,1,5,1,31.19,1,21.7,370,12.1,865,sw_2
SW_S19S.0041_U_1,2.72,2,-15.21,-116.3,0.11,2,0,1,0.12,0.04,2,6.5,1,8,2,4.66,6,20,871,8.5,246,sw_2
SW_S19S.0041_U_2,2.83,2,NA,NA,0.1,2,0,1,0.12,0.04,2,6.5,1,8,2,4.85,6,20,871,8.5,246,sw_2
SW_S19S.0041_U_3,2.8,2,NA,NA,0.1,2,0,1,0.12,0.04,2,6.5,1,8,2,4.76,6,20,871,8.5,246,sw_0
SW_S19S.0042_U_1,1719.1,2,0.72,8.3,0.02,4,0,1,0.54,0.04,1,8,1,17,3,209.18,1,29.1,5,23.7,1291,sw_0
SW_S19S.0042_U_2,1845.35,2,NA,NA,0.02,4,0,1,0.12,0.04,1,8,1,17,3,225.73,1,29.1,5,23.7,1291,sw_0
SW_S19S.0042_U_3,1625.46,2,NA,NA,0.02,4,0,1,0.12,0.04,1,8,1,17,3,200.39,1,29.1,5,23.7,1291,sw_0
SW_S19S.0043_U_1,35.22,1,-8.45,-55,0.1,17,1,1,50.69,0.04,,7.5,0,5,3,22.81,3,15.7,262,7.7,799,sw_0
