sample_id,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,03_mgL,02_mgL,Number.Days.Since.Precip,pH,Precipitation.Within.Week,Primary.Sources.Flow.Variation,Sediment,SO4_mgL,Stream_Order,Temp_degC,altS,MAT,MAP,cluster
SW_S19S.0083_U_1,48.18,1,NA,NA,0.22,0,1,1,0.61,0.04,2,7.5,1,9,2,78.7,5,25.4,217,10.6,932,sw_0
SW_S19S.0083_U_2,47.57,1,NA,NA,0.23,0,1,1,0.6,0.04,2,7.5,1,9,2,77.28,5,25.4,217,10.6,932,sw_0
SW_S19S.0083_U_3,23.94,1,NA,NA,0.19,0,1,1,0.56,0.04,2,7.5,1,9,2,40.33,5,25.4,576,4.4,1204,sw_0
SW_S19S.0084_U_1,0.4,1,-9.24,-57.5,0.04,0,2,1,0.12,0.04,0,6,1,5,1,2.66,1,17.2,576,4.4,1204,sw_2
SW_S19S.0084_U_2,0.37,1,NA,NA,0.04,0,2,1,0.12,0.04,0,6,1,5,1,2.88,1,17.2,576,4.4,1204,sw_2
SW_S19S.0084_U_3,0.37,1,NA,NA,0.04,0,2,1,0.12,0.04,0,6,1,5,1,2.85,1,17.2,947,9.7,438,sw_2
SW_S19S.0085_U_1,2.68,1,-15.83,-121.1,0.38,3,1,1,0.12,0.04,,7,0,8,1,4.04,5,NA,947,9.7,438,sw_1
SW_S19S.0085_U_2,2.66,1,NA,NA,0.37,3,1,1,0.12,0.04,,7,0,8,1,4,5,NA,947,9.7,438,sw_0
SW_S19S.0085_U_3,2.66,1,NA,NA,0.37,3,1,1,0.12,0.04,,7,0,8,1,4,5,NA,1753,7.7,640,sw_2
SW_S19S.0086_U_2,10.8,1,NA,NA,0.12,3,1,1,0.12,0.04,,8,0,9,1,80.07,3,11.5,1753,7.7,640,sw_1
SW_S19S.0086_U_3,10.95,1,NA,NA,0.13,3,1,1,0.12,0.04,,8,0,9,1,81.36,3,11.5,1753,7.7,640,sw_2
SW_S19S.0087_U_1,1.1,1,-14.54,-112.2,0.14,2,1,0,0.21,0.04,10,7.25,0,5,1,1.74,2,17.1,1508,6.7,368,sw_0
SW_S19S.0087_U_2,0.99,1,NA,NA,0.11,2,1,0,0.27,0.04,10,7.25,0,5,1,1.7,2,17.1,1508,6.7,368,sw_0
SW_S19S.0087_U_3,1.01,1,NA,NA,0.1,2,1,0,0.24,0.04,10,7.25,0,5,1,1.69,2,17.1,1508,6.7,368,sw_0
SW_S19S.0089_U_1,36.8,2,-5.38,-34.4,0.16,17,2,1,2.83,0.04,2,7,1,18,1,22.55,1,20.8,611,11.2,984,sw_0
SW_S19S.0089_U_2,36.66,2,NA,NA,0.19,17,2,1,2.66,0.04,2,7,1,18,1,22.77,1,20.8,611,11.2,984,sw_0
SW_S19S.0089_U_3,36.96,2,NA,NA,0.19,17,2,1,2.84,0.04,2,7,1,18,1,22.15,1,20.8,611,11.2,984,sw_0
SW_S19S.0090_U_2,20.52,,NA,NA,0.02,0,2,2,22.87,0.04,,6.5,NA,20,2,36.86,1,22.9,8,14.8,1056,sw_0
SW_S19S.0090_U_3,20.33,,NA,NA,0.03,0,2,2,21.93,0.04,,6.5,NA,20,2,36.47,1,22.9,8,14.8,1056,sw_0
SW_S19S.0091_U_3,1.87,1,NA,NA,0.08,3,0,1,0.22,0.04,,6.5,0,3,2,22.61,,9.6,1,3.5,1909,sw_1
SW_S19S.0092_U_1,31.81,1,NA,NA,0.17,3,2,1,53.65,1.27,,7,0,2,3,45.16,,17.3,94,9.2,660,sw_1
SW_S19S.0092_U_2,31.79,1,NA,NA,0.18,3,2,1,53.06,1.33,,7,0,2,3,44.92,,17.3,94,9.2,660,sw_1
SW_S19S.0092_U_3,32.45,1,NA,NA,0.31,3,2,1,53.6,1.48,,7,0,2,3,46.24,,17.3,94,9.2,660,sw_1
SW_S19S.0093_U_1,24.96,2,-6.64,-44.5,0.15,0,2,1,31.27,0.04,0,7.5,1,16,2,41.34,,14.1,110,9,725,sw_0
SW_S19S.0093_U_2,20.99,2,NA,NA,0.14,0,2,1,30.67,0.04,0,7.5,1,16,2,41.6,,14.1,110,9,725,sw_0
SW_S19S.0093_U_3,22.98,2,NA,NA,0.13,0,2,1,29.63,0.04,0,7.5,1,16,2,37.72,,14.1,110,9,725,sw_0
SW_S19S.0094_U_1,6.21,1,-2.14,-3.8,0.02,4,2,1,0.5,0.04,0,6.5,1,1,2,1.31,,21.2,658,21,3001,sw_2
SW_S19S.0094_U_2,6.12,1,NA,NA,0.03,4,2,1,0.53,0.04,0,6.5,1,1,2,1.22,,21.2,658,21,3001,sw_2
SW_S19S.0094_U_3,6.14,1,NA,NA,0.03,4,2,1,0.58,0.04,0,6.5,1,1,2,1.2,,21.2,658,21,3001,sw_2
SW_S19S.0096_U_1,3.22,1,NA,NA,0.09,2,1,1,5.43,0.07,2,6.5,1,13,1,6.08,,18.4,209,12.2,837,sw_2
SW_S19S.0096_U_2,3.18,1,NA,NA,0.09,2,1,1,5.38,0.07,2,6.5,1,13,1,5.97,,18.4,209,12.2,837,sw_1
SW_S19S.0097_U_1,12.6,3,NA,NA,0.1,3,2,1,1.06,0.04,,8.49,0,15,3,14.24,5,16.9,1350,8.9,464,sw_0
SW_S19S.0097_U_2,12.38,3,NA,NA,0.09,3,2,1,1.05,0.04,,8.49,0,15,3,14.09,5,16.9,1350,8.9,464,sw_0
SW_S19S.0097_U_3,12.68,3,NA,NA,0.09,3,2,1,1.01,0.04,,8.49,0,15,3,14.21,5,16.9,1350,8.9,464,sw_2
SW_S19S.0098_U_1,1.14,1,-16.76,-124.5,0.05,14,2,1,0.65,0.04,,8.31,0,15,1,1.9,3,10.34,2165,3.3,449,sw_2
SW_S19S.0098_U_2,1.14,1,NA,NA,0.05,14,2,1,0.66,0.04,,8.31,0,15,1,2.02,3,10.34,2165,3.3,449,sw_2
SW_S19S.0098_U_3,1.11,1,NA,NA,0.05,14,2,1,0.66,0.04,,8.31,0,15,1,1.88,3,10.34,2165,3.3,449,sw_1
SW_S19S.0099_U_1,70.55,1,-16.08,-122.8,0.33,2,1,0,4.43,0.04,,7.5,0,9,1,47.79,7,27.3,160,11.8,1048,sw_0
SW_S19S.0099_U_2,68.35,1,NA,NA,0.29,2,1,0,4.64,0.04,,7.5,0,9,1,45.59,7,27.3,160,11.8,1048,sw_0
SW_S19S.0099_U_3,66.16,1,NA,NA,0.3,2,1,0,4.75,0.04,,7.5,0,9,1,44.37,7,27.3,160,11.8,1048,sw_0
SW_S19S.0100_U_1,0.22,1,-6.53,-43.3,0.09,17,1,1,0.12,0.04,8,7.24,1,5,1,34.62,2,14.2,2764,1,532,sw_1
SW_S19S.0100_U_3,0.2,1,NA,NA,0.06,17,1,1,0.12,0.04,8,7.24,1,5,1,34.8,2,14.2,2764,1,532,sw_0
