,precision,recall,f1-score,support
sw_0,0.6923076923076923,0.8571428571428571,0.7659574468085107,21.0
sw_1,0.6,0.2727272727272727,0.37499999999999994,11.0
sw_2,0.6363636363636364,0.6666666666666666,0.6511627906976744,21.0
accuracy,0.660377358490566,0.660377358490566,0.660377358490566,0.660377358490566
macro avg,0.6428904428904428,0.5988455988455987,0.5973734125020617,53.0
weighted avg,0.650982979284866,0.660377358490566,0.6393306601439601,53.0
