,precision,recall,f1-score,support
sw_0,0.6896551724137931,0.9523809523809523,0.7999999999999999,21.0
sw_1,0.6,0.2727272727272727,0.37499999999999994,11.0
sw_2,0.7368421052631579,0.6666666666666666,0.7,21.0
accuracy,0.6981132075471698,0.6981132075471698,0.6981132075471698,0.6981132075471698
macro avg,0.6754990925589838,0.6305916305916305,0.6249999999999999,53.0
weighted avg,0.6897442043625656,0.6981132075471698,0.6721698113207547,53.0
